applicant_id,age,gender,marital_status,city_tier,state,employment_type,bank_account_vintage_years,monthly_income_inr,existing_loans_count,existing_emi_monthly_inr,credit_utilization_ratio_pct,num_credit_inquiries_last_6m,late_payments_last_12m,loan_amount_requested_inr,loan_tenure_months,loan_purpose,collateral_provided,cibil_score,interest_rate_offered_pct,default_risk_score,default_flag
APP106868,22,Male,Single,Tier 3,Haryana,Salaried - PSU,0.5,12000,1,1700.0,31.4,2.0,0,149000,48,Personal Expense,No,649,24.84,1.67,0
APP124016,35,Female,Divorced,Tier 2,Gujarat,Salaried - Private,0.5,32500,3,11500.0,47.6,0.0,1,156000,60,Personal Expense,No,538,25.25,4.47,0
APP109668,41,Male,Married,Tier 2,Uttar Pradesh,Salaried - Government,2.8,52500,0,6000.0,51.8,0.0,0,70000,36,Wedding,No,636,20.46,0.19,0
APP113640,29,Female,Married,Tier 2,Kerala,Salaried - PSU,0.7,15500,1,1900.0,12.2,0.0,1,108000,48,Education,No,721,15.27,0.26,0
APP114018,31,Male,Married,Tier 1,Punjab,Self-Employed Professional,4.7,269600,2,50800.0,50.3,0.0,2,466000,24,Education,No,586,25.52,2.1,0
APP107488,33,Male,Married,Tier 1,Andhra Pradesh,Salaried - Private,3.5,189000,1,23500.0,23.9,2.0,1,65000,36,Personal Expense,No,686,15.2,0.31,0
APP105804,32,Male,Married,Tier 3,Bihar,Salaried - Government,0.8,20500,2,6100.0,24.6,1.0,4,57000,60,Personal Expense,No,494,21.61,34.02,0
APP112909,27,Male,Married,Tier 1,Uttar Pradesh,Business Owner,5.0,28800,1,6900.0,14.7,1.0,2,59000,12,Personal Expense,Yes,708,12.59,0.18,0
APP103386,35,Male,Single,Tier 2,Delhi NCR,Salaried - Private,0.5,44000,1,9600.0,45.6,1.0,4,324000,36,Personal Expense,Yes,537,23.28,11.73,0
APP109567,24,Male,Single,Tier 2,West Bengal,Business Owner,1.2,55100,1,7500.0,31.9,0.0,0,130000,48,Education,No,745,13.26,0.04,0
APP121423,38,Male,Married,Tier 3,Punjab,Self-Employed Professional,1.7,61900,2,11000.0,29.1,4.0,1,196000,12,Business Expansion,No,573,21.49,3.25,0
APP103503,24,Female,Single,Tier 1,Tamil Nadu,Salaried - Private,5.8,40000,0,4900.0,25.3,1.0,2,306000,24,Wedding,Yes,693,15.76,0.1,0
APP106657,33,Male,Single,Tier 2,Bihar,Salaried - Government,1.9,15400,1,400.0,23.3,0.0,0,51000,84,Education,No,751,15.4,0.04,0
APP119192,29,Male,Divorced,Tier 1,Haryana,Salaried - Private,1.5,44800,1,9500.0,61.8,2.0,0,91000,36,Education,No,562,22.55,2.04,0
APP102518,40,Male,Widowed,Tier 1,Uttar Pradesh,Business Owner,0.5,220300,3,39100.0,21.5,1.0,0,303000,12,Debt Consolidation,No,662,18.85,0.56,0
APP113361,21,Other,Single,Tier 3,Andhra Pradesh,Salaried - PSU,0.5,38600,1,10200.0,46.0,2.0,3,353000,36,Personal Expense,No,569,24.16,11.24,0
APP121135,32,Male,Single,Tier 3,Karnataka,Self-Employed Professional,1.1,30000,1,12400.0,47.8,2.0,1,155000,24,Home Renovation,No,546,19.96,15.0,0
APP121080,43,Female,Married,Tier 1,Madhya Pradesh,Self-Employed Professional,4.2,68200,2,18900.0,25.6,1.0,2,310000,12,Medical Emergency,No,633,22.17,2.31,0
APP106492,25,Female,Married,Tier 1,Maharashtra,Self-Employed Professional,4.0,70500,0,13800.0,51.4,3.0,2,99000,72,Home Renovation,No,570,19.43,6.8,0
APP106891,32,Male,Married,Tier 3,Telangana,Salaried - Private,4.0,22600,0,3700.0,67.8,0.0,3,47000,36,Debt Consolidation,No,597,23.38,2.13,0
APP107752,21,Male,Married,Tier 1,Tamil Nadu,Salaried - Private,0.5,25500,0,10000.0,25.9,2.0,3,155000,36,Vehicle Purchase,No,481,22.33,60.28,0
